City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Fortuna,US,40.5982,-124.1573,53.94,74,40,12.66,scattered clouds
80,Kasongo-Lunda,CD,-6.4667,16.8167,70.34,96,98,0.85,light rain
81,Hithadhoo,MV,-0.6,73.0833,81.59,72,14,6.02,few clouds
82,Lorengau,PG,-2.0226,147.2712,79.92,80,94,1.7,overcast clouds
83,Mount Gambier,AU,-37.8333,140.7667,53.89,94,15,4.38,few clouds
84,Avera,US,33.194,-82.5271,63.91,37,99,1.45,overcast clouds
85,Xilagani,GR,40.9833,25.4167,54.9,77,100,5.7,overcast clouds
86,Santa Marta,CO,11.2408,-74.199,87.85,58,20,9.22,few clouds
87,Ghogha,IN,21.6833,72.2833,79.32,44,61,6.06,broken clouds
88,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,9.22,light rain
89,Ushtobe,KZ,45.2514,77.9838,54.52,44,100,6.67,overcast clouds
90,Tarsus,TR,36.9188,34.8784,58.87,55,82,5.48,broken clouds
91,Mecca,SA,21.4267,39.8261,74.89,64,57,1.19,broken clouds
92,Yeppoon,AU,-23.1333,150.7333,76.78,90,11,4.36,few clouds
93,Pacific Grove,US,36.6177,-121.9166,64.51,86,20,18.41,few clouds
94,Isangel,VU,-19.55,169.2667,80.71,78,40,0.0,scattered clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,73,40,6.91,light rain
96,San Policarpo,PH,12.1791,125.5072,76.3,82,13,11.48,few clouds
97,Yambio,SS,4.5721,28.3955,74.21,70,87,6.02,overcast clouds
98,Guerrero Negro,MX,27.9769,-114.0611,69.71,62,4,22.62,clear sky
99,Ribeira Grande,PT,38.5167,-28.7,63.77,94,40,20.0,light rain
100,Tuatapere,NZ,-46.1333,167.6833,58.75,78,97,7.63,overcast clouds
101,Clyde River,CA,70.4692,-68.5914,1.63,78,20,18.41,few clouds
102,Dwarka,IN,22.2394,68.9678,76.84,61,100,8.39,overcast clouds
103,Erenhot,CN,43.6475,111.9767,17.28,26,7,10.98,clear sky
104,Coihaique,CL,-45.5752,-72.0662,63.21,88,75,6.91,light rain
105,Puerto Ayora,EC,-0.7393,-90.3518,85.96,81,51,11.01,broken clouds
106,Balkhash,KZ,46.844,74.9804,35.17,90,100,5.3,light snow
107,East London,ZA,-33.0153,27.9116,69.12,74,71,16.24,light rain
108,Manjacaze,MZ,-24.7117,33.8828,71.4,97,5,4.32,clear sky
109,Reconquista,AR,-29.15,-59.65,100.96,19,0,11.03,clear sky
110,Hilo,US,19.7297,-155.09,81.28,77,100,8.05,overcast clouds
111,Dikson,RU,73.5069,80.5464,2.55,93,100,13.42,overcast clouds
112,Salalah,OM,17.0151,54.0924,78.89,73,0,2.3,clear sky
113,Bredasdorp,ZA,-34.5322,20.0403,62.74,55,89,4.27,overcast clouds
114,Timberlake,US,37.3207,-79.2575,48.81,44,20,8.05,few clouds
115,Berlevag,NO,70.8578,29.0864,17.55,57,48,23.02,scattered clouds
116,Altay,CN,47.8667,88.1167,29.35,49,100,8.9,overcast clouds
117,Siuna,NI,13.7332,-84.7773,86.67,41,92,7.02,overcast clouds
118,Kozmodemyansk,RU,56.3367,46.5711,21.47,88,100,12.95,overcast clouds
119,Nehe,CN,48.4833,124.8333,12.83,65,86,8.79,overcast clouds
120,Butaritari,KI,3.0707,172.7902,81.54,76,4,14.92,clear sky
121,Tiksi,RU,71.6872,128.8694,-12.77,97,67,7.96,broken clouds
122,Chak Jhumra,PK,31.5678,73.1835,65.07,26,1,6.33,clear sky
123,Kushmurun,KZ,52.4503,64.6311,22.48,90,76,8.84,broken clouds
124,Bluff,NZ,-46.6,168.3333,59.77,70,88,14.41,overcast clouds
125,Tasiilaq,GL,65.6145,-37.6368,10.56,67,0,4.74,clear sky
126,Hounde,BF,11.5,-3.5167,92.05,20,100,4.68,overcast clouds
127,Kaitangata,NZ,-46.2817,169.8464,57.69,65,98,4.18,overcast clouds
128,Ionia,US,42.9873,-85.0711,41.18,57,40,4.61,scattered clouds
129,Asansol,IN,23.6833,86.9833,72.95,28,1,8.01,clear sky
130,Saint-Francois,FR,46.4154,3.9054,45.97,95,100,2.3,overcast clouds
131,Akure,NG,7.2526,5.1931,76.64,88,77,8.1,light rain
132,Jining,CN,35.405,116.5814,44.46,22,100,21.56,overcast clouds
133,Coruripe,BR,-10.1256,-36.1756,80.28,73,89,8.72,overcast clouds
134,Kindu,CD,-2.95,25.95,67.48,99,77,1.01,broken clouds
135,Jamestown,US,42.097,-79.2353,31.59,86,100,10.36,overcast clouds
136,Flinders,AU,-34.5833,150.8552,71.38,85,72,8.55,broken clouds
137,Aswan,EG,24.0934,32.907,71.44,18,35,7.65,scattered clouds
138,Cody,US,44.5263,-109.0565,36.64,44,100,13.8,overcast clouds
139,Katsuura,JP,35.1333,140.3,53.8,63,0,4.7,clear sky
140,Adwa,ET,14.1646,38.8955,65.91,44,65,1.39,broken clouds
141,Langsa,ID,4.4683,97.9683,73.65,97,85,2.28,overcast clouds
142,Shaygino,RU,57.7675,46.8618,17.15,88,99,10.4,overcast clouds
143,Camacha,PT,33.0833,-16.3333,60.22,88,20,12.66,few clouds
144,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,moderate rain
145,Ratnagiri,IN,16.9833,73.3,78.51,47,0,4.88,clear sky
146,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,78,100,19.57,light snow
147,Paamiut,GL,61.994,-49.6678,26.83,78,99,7.02,overcast clouds
148,Hualmay,PE,-11.0964,-77.6139,79.14,71,77,9.42,broken clouds
149,Mbaiki,CF,3.8678,17.9892,74.95,68,99,2.8,overcast clouds
150,Manta,EC,-0.95,-80.7333,80.38,78,0,4.61,light rain
151,Bilibino,RU,68.0546,166.4372,-23.87,97,8,3.62,clear sky
152,Alta Floresta,BR,-9.8756,-56.0861,77.32,87,66,3.96,heavy intensity rain
153,Wangaratta,AU,-36.3667,146.3333,56.46,85,17,3.78,few clouds
154,Kruisfontein,ZA,-34.0033,24.7314,63.88,66,45,7.81,scattered clouds
155,Barcelos,PT,41.5388,-8.6151,60.85,94,100,3.96,overcast clouds
156,Kiunga,PG,-6.1219,141.2906,73.9,99,98,1.81,moderate rain
157,Sylvan Lake,CA,52.3168,-114.0853,12.34,76,20,3.44,few clouds
158,Harper,LR,4.375,-7.7169,80.28,86,38,8.75,scattered clouds
159,Campos Belos,BR,-13.0367,-46.7717,77.23,72,100,4.83,overcast clouds
160,Guiglo,CI,6.5456,-7.4966,74.55,91,100,7.2,heavy intensity rain
161,Umm Lajj,SA,25.0213,37.2685,73.62,51,0,4.21,clear sky
162,Skelleftea,SE,64.7507,20.9528,7.16,92,40,5.75,scattered clouds
163,Kununurra,AU,-15.7667,128.7333,67.98,94,3,0.0,clear sky
164,Egvekinot,RU,66.3167,-179.1667,-11.87,88,20,10.02,few clouds
165,Ferme-Neuve,CA,46.7001,-75.4493,30.63,88,100,5.46,overcast clouds
166,Jos,NG,9.9167,8.9,74.5,15,32,6.06,scattered clouds
167,Varhaug,NO,58.6147,5.6457,28.89,57,100,21.45,overcast clouds
168,Arona,ES,28.0996,-16.681,72.91,51,0,9.22,clear sky
169,Leningradskiy,RU,69.3833,178.4167,-17.1,92,12,5.86,few clouds
170,Evensk,RU,61.95,159.2333,-11.04,81,82,5.3,broken clouds
171,Yumen,CN,40.2833,97.2,27.41,31,0,6.02,clear sky
172,Osakasayama,JP,34.5039,135.55,56.88,75,92,4.18,overcast clouds
173,Pemba,MZ,-12.974,40.5178,80.76,80,100,18.3,overcast clouds
174,Benjamin Hill,MX,30.1667,-111.1,77.31,33,67,19.01,broken clouds
175,Yar-Sale,RU,66.8333,70.8333,10.04,87,100,18.66,overcast clouds
176,Ilulissat,GL,69.2167,-51.1,23.02,39,8,1.14,clear sky
177,Yulara,AU,-25.2406,130.9889,69.13,26,0,7.25,clear sky
178,Provideniya,RU,64.3833,-173.3,14.88,94,100,2.57,overcast clouds
179,Santa Marinella,IT,42.0345,11.8536,59.54,76,32,5.97,scattered clouds
180,Chicama,PE,-7.8447,-79.1469,82.94,68,100,6.96,overcast clouds
181,Arman,RU,59.7,150.1667,4.37,88,100,5.57,overcast clouds
182,Coquimbo,CL,-29.9533,-71.3436,73.13,60,0,13.8,clear sky
183,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
184,Vagur,FO,61.4732,-6.8119,28.69,57,100,16.31,overcast clouds
185,Souillac,MU,-20.5167,57.5167,77.38,88,40,9.22,light rain
186,Myitkyina,MM,25.3833,97.4,65.75,42,76,3.02,broken clouds
187,Touros,BR,-5.1989,-35.4608,80.64,79,19,13.11,few clouds
188,Kirovskiy,RU,45.0917,133.5136,30.16,94,100,5.57,light snow
189,Kloulklubed,PW,7.0419,134.2556,75.7,76,31,10.98,scattered clouds
190,Den Helder,NL,52.9599,4.7593,34.99,87,100,5.99,overcast clouds
191,Iquique,CL,-20.2208,-70.1431,78.84,74,17,8.03,few clouds
192,Auki,SB,-8.7676,160.7034,79.7,77,98,2.86,overcast clouds
193,Bairiki,KI,1.3292,172.9752,84.2,84,40,10.36,scattered clouds
