City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Mar Del Plata,AR,77.83,broken clouds,-38.0023,-57.5575,Nuevo Ostende
304,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Port Wine Guest House
306,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,losmen Surya
307,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Paladino
308,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
310,Sao Felix Do Xingu,BR,74.19,broken clouds,-6.6447,-51.995,Hotel Terraço
314,Cintalapa,MX,87.49,few clouds,16.6951,-93.7272,HotelLeos
316,Warri,NG,76.1,overcast clouds,5.5167,5.75,Warri Sapele Road
321,Ternate,ID,78.76,broken clouds,0.8,127.4,Boulivard ternate
325,Antofagasta,CL,72.68,clear sky,-23.65,-70.4,Hotel Colón
329,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Hotel Amirana
330,Koungheul,SN,88.45,clear sky,13.9833,-14.8,Auberge Keur Ghan
333,Pangkalanbuun,ID,73.06,moderate rain,-2.6833,111.6167,Hotel Tiara
334,Berbera,SO,78.39,few clouds,10.4396,45.0143,Al Madina Hotel
335,Ambulu,ID,73.69,broken clouds,-8.345,113.6058,Hotel Ambulu
338,Cobija,BO,72.39,light rain,-11.0267,-68.7692,Hotel El Cristo
339,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Tropic Hotel
341,Tuxpan,MX,73.17,clear sky,19.55,-103.4,Hotel Ruiz
356,Byron Bay,AU,73.94,overcast clouds,-28.65,153.6167,Lord Byron Resort
357,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,Ibis Styles
360,Houma,US,82.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
362,Nabire,ID,75.52,moderate rain,-3.3667,135.4833,Hotel Anggrek
366,Port Macquarie,AU,71.89,light rain,-31.4333,152.9167,The Observatory
370,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Hotel Barlovento
371,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
376,Manado,ID,74.17,few clouds,1.487,124.8455,Swiss Belhotel
378,Mbandaka,CD,73.17,overcast clouds,0.0487,18.2603,Hôtel Epervier
384,Sao Raimundo Nonato,BR,80.47,broken clouds,-9.0153,-42.6994,Pousada Zabelê
395,Mabaruma,GY,76.24,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
398,Daru,PG,80.37,overcast clouds,-9.0763,143.2092,Kuki
404,Vao,NC,77.05,broken clouds,-22.6667,167.4833,Nataiwatch
405,Mareeba,AU,76.44,clear sky,-17.0,145.4333,The Gateway Hotel
407,Sydney,AU,73.76,broken clouds,-33.8679,151.2073,The Westin
408,Bengkulu,ID,74.03,overcast clouds,-3.8004,102.2655,Dena Hotel
409,Gorontalo,ID,73.42,broken clouds,0.5412,123.0595,Grand City Hotel
411,Atar,MR,82.4,clear sky,20.5169,-13.0499,فندق سكليل
412,Santa Rosa,PH,74.1,broken clouds,14.3122,121.1114,JARS RESORT
419,Tutoia,BR,79.52,broken clouds,-2.7619,-42.2744,Pousada San Vicente
423,Baracoa,CU,77.94,broken clouds,20.3467,-74.4958,Casa
427,Waingapu,ID,76.14,scattered clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
428,Santa Vitoria Do Palmar,BR,76.24,clear sky,-33.5189,-53.3681,Hotel Brasil
430,Panama City,PA,85.14,scattered clouds,8.9936,-79.5197,Hostal Familiar Carmencita
433,Nakhon Sawan,TH,78.82,overcast clouds,15.7,100.0833,ไม้หอมวิลล่า
434,Axim,GH,80.49,broken clouds,4.8699,-2.2405,Axim Beach Hotel
441,Bintulu,MY,73.81,few clouds,3.1667,113.0333,Bakun Inn
442,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,Hotel del Valle
452,Lamar,US,78.37,overcast clouds,33.6668,-95.5836,Days Inn by Wyndham Paris
453,Sinnamary,GF,77.41,overcast clouds,5.3833,-52.95,Hôtel du fleuve
455,Marsh Harbour,BS,74.82,clear sky,26.5412,-77.0636,Lofty Fig Villas
456,Alem Paraiba,BR,74.5,moderate rain,-21.8878,-42.7044,Hotel E Restaurante Santinha
457,Cleburne,US,89.85,broken clouds,32.3476,-97.3867,Liberty Hotel
466,Cacapava Do Sul,BR,81.75,scattered clouds,-30.5122,-53.4914,Hotel Portal do Pampa
467,Takoradi,GH,79.9,light rain,4.8845,-1.7554,Hillcrest
469,Hervey Bay,AU,79.65,clear sky,-25.2986,152.8535,Hervey Bay Hotel
